Gene,Accession,Chromosome,End,Start,Strand
KIF22,ENSG00000079616,16,29805385,29790719,+
ITGAL,ENSG00000005844,16,30523185,30472719,+
CLUHP3,ENSG00000131797,16,31711986,31700590,+
LONP2,ENSG00000102910,16,48363122,48244300,+
NUP93,ENSG00000102900,16,56850286,56730118,+
HERPUD1,ENSG00000051108,16,56944864,56932142,+
NLRC5,ENSG00000140853,16,57083531,56989485,+
POLR2C,ENSG00000102978,16,57472009,57462660,+
DUS2,ENSG00000167264,16,68079320,67987746,+
NFATC3,ENSG00000072736,16,68229259,68084751,+
IST1,ENSG00000182149,16,71931199,71845996,+
DHX38,ENSG00000140829,16,72112912,72093613,+
WWOX,ENSG00000186153,16,79212667,78099430,+
AC099524.1,ENSG00000261218,16,81767868,81738248,+
PLCG2,ENSG00000197943,16,81962685,81739097,+
HSBP1,ENSG00000230989,16,83819737,83807978,+
BANP,ENSG00000172530,16,88077318,87949244,+
AFG3L1P,ENSG00000223959,16,90002161,89972586,+
SMG6,ENSG00000070366,17,2303785,2059839,-
METTL16,ENSG00000127804,17,2511891,2405562,-
ITGAE,ENSG00000083457,17,3801188,3714628,-
P2RX1,ENSG00000108405,17,3916476,3896592,-
ATP2A3,ENSG00000074370,17,3964464,3923870,-
UBE2G1,ENSG00000132388,17,4366628,4269259,-
PFN1,ENSG00000108518,17,4949061,4945652,-
NUP88,ENSG00000108559,17,5419676,5360963,-
MYH10,ENSG00000133026,17,8630761,8474205,-
PIK3R5,ENSG00000141506,17,8965712,8878911,-
NCOR1,ENSG00000141027,17,16218185,16029157,-
COPS3,ENSG00000141030,17,17281273,17246616,-
TOP3A,ENSG00000177302,17,18315007,18271428,-
SSH2,ENSG00000141298,17,29930276,29625938,-
BLMH,ENSG00000108578,17,30292056,30248203,-
CRLF3,ENSG00000176390,17,30824692,30769388,-
MYO1D,ENSG00000176658,17,32877177,32492522,-
FBXL20,ENSG00000108306,17,39402523,39252663,-
IKZF3,ENSG00000161405,17,39864312,39757718,-
CCR7,ENSG00000126353,17,40565472,40553769,-
STAT3,ENSG00000168610,17,42388568,42313324,-
BECN1,ENSG00000126581,17,42833350,42810134,-
LINC00910,ENSG00000188825,17,43389199,43338741,-
LSM12,ENSG00000161654,17,44067619,44034635,-
GPATCH8,ENSG00000186566,17,44503430,44395281,-
KANSL1,ENSG00000120071,17,46225389,46029916,-
SCRN2,ENSG00000141295,17,47841289,47837692,-
SPOP,ENSG00000121067,17,49678163,49598884,-
SLC35B1,ENSG00000121073,17,49709014,49700934,-
FAM117A,ENSG00000121104,17,49789180,49710332,-
LRRC59,ENSG00000108829,17,50397523,50375059,-
TSPOAP1,ENSG00000005379,17,58328795,58301228,-
MED13,ENSG00000108510,17,62065278,61942605,-
ERN1,ENSG00000178607,17,64130819,64039142,-
DDX5,ENSG00000108654,17,64508199,64498254,-
HELZ,ENSG00000198265,17,67245989,67070444,-
PSMD12,ENSG00000197170,17,67366605,67337916,-
HID1,ENSG00000167861,17,74973166,74950742,-
WBP2,ENSG00000132471,17,75856507,75845699,-
FBF1,ENSG00000188878,17,75941140,75909574,-
UBE2O,ENSG00000175931,17,76453152,76389456,-
JMJD6,ENSG00000070495,17,76726799,76712832,-
TMC6,ENSG00000141524,17,78132407,78110458,-
DNAH17,ENSG00000187775,17,78577394,78423697,-
CYTH1,ENSG00000108669,17,78782297,78674048,-
P4HB,ENSG00000185624,17,81860624,81843161,-
CYBC1,ENSG00000178927,17,82450829,82442586,-
RPA1,ENSG00000132383,17,1900082,1829702,+
PSMB6,ENSG00000142507,17,4798502,4796144,+
COX10,ENSG00000006695,17,14231736,14069490,+
SNHG29,ENSG00000175061,17,16478678,16438767,+
TVP23B,ENSG00000171928,17,18806714,18781111,+
PRPSAP2,ENSG00000141127,17,18931287,18840085,+
WSB1,ENSG00000109046,17,27315926,27294076,+
RNF135,ENSG00000181481,17,30999911,30970984,+
LRRC37B,ENSG00000185158,17,32053504,32007872,+
AATF,ENSG00000275700,17,37056871,36948954,+
TADA2A,ENSG00000276234,17,37479725,37406886,+
MRPL45,ENSG00000278845,17,38323217,38297023,+
RPL19,ENSG00000108298,17,39204732,39200283,+
RARA,ENSG00000131759,17,40357643,40309180,+
CNP,ENSG00000173786,17,41977740,41966763,+
IFI35,ENSG00000068079,17,43014456,43006725,+
NSF,ENSG00000073969,17,46757464,46590669,+
SP2,ENSG00000167182,17,47928957,47896150,+
KAT7,ENSG00000136504,17,49835026,49788681,+
RSAD1,ENSG00000136444,17,50485974,50478860,+
MYCBPAP,ENSG00000136449,17,50531501,50508384,+
LUC7L3,ENSG00000108848,17,50756219,50719565,+
SCPEP1,ENSG00000121064,17,57006768,56978105,+
MSI2,ENSG00000153944,17,57684689,57255851,+
VMP1,ENSG00000062716,17,59842255,59707192,+
RPS6KB1,ENSG00000108443,17,59950574,59893046,+
BPTF,ENSG00000171634,17,67984378,67825503,+
TMEM104,ENSG00000109066,17,74839779,74776483,+
LLGL2,ENSG00000073350,17,75575208,75525080,+
SNHG16,ENSG00000163597,17,76565348,76557764,+
SEC14L1,ENSG00000129657,17,77217101,77088749,+
SEPTIN9,ENSG00000184640,17,77500596,77280569,+
PGS1,ENSG00000087157,17,78425114,78378649,+
RPTOR,ENSG00000141564,17,80966371,80544819,+
NARF,ENSG00000141562,17,82490537,82458180,+
ABHD3,ENSG00000158201,18,21704780,21650901,-
NPC1,ENSG00000141458,18,23586506,23506184,-
TRAPPC8,ENSG00000153339,18,31953136,31829180,-
ATP5F1A,ENSG00000152234,18,46104334,46080248,-
TCF4,ENSG00000196628,18,55664787,55222185,-
LMAN1,ENSG00000074695,18,59359265,59327823,-
ZNF236-DT,ENSG00000264278,18,76822295,76794732,-
VAPA,ENSG00000101558,18,9960021,9914002,+
GREB1L,ENSG00000141449,18,21525417,21242242,+
RMC1,ENSG00000141452,18,23531822,23503470,+
ELP2,ENSG00000134759,18,36180557,36129444,+
PIK3C3,ENSG00000078142,18,42087830,41955234,+
SETBP1,ENSG00000152217,18,45068510,44680173,+
RNF126,ENSG00000070423,19,663233,647526,-
POLR2E,ENSG00000099817,19,1095380,1086574,-
MOB3A,ENSG00000172081,19,2096673,2071036,-
GNG7,ENSG00000176533,19,2702694,2511219,-
SGTA,ENSG00000104969,19,2783282,2754715,-
EEF2,ENSG00000167658,19,3985463,3976056,-
SIRT6,ENSG00000077463,19,4182566,4174109,-
MYDGF,ENSG00000074842,19,4670370,4641374,-
DPP9,ENSG00000142002,19,4724673,4675224,-
LONP1,ENSG00000196365,19,5720572,5691834,-
FCER2,ENSG00000104921,19,7702146,7688758,-
ELAVL1,ENSG00000066044,19,8005659,7958573,-
ZNF426,ENSG00000130818,19,9538645,9523223,-
MAN2B1,ENSG00000104774,19,12666742,12646511,-
TNPO2,ENSG00000105576,19,12724011,12699194,-
DDX39A,ENSG00000123136,19,14419383,14408798,-
AKAP8,ENSG00000105127,19,15379798,15353385,-
ATP13A1,ENSG00000105726,19,19663676,19645198,-
CEP89,ENSG00000121289,19,32971991,32875925,-
SYNE4,ENSG00000181392,19,36008813,36003307,-
ZFP82,ENSG00000181007,19,36418644,36383120,-
HNRNPL,ENSG00000104824,19,38852347,38836388,-
AKT2,ENSG00000105221,19,40285536,40230317,-
EML2,ENSG00000125746,19,45645629,45606994,-
SNRPD2,ENSG00000125743,19,45692569,45687454,-
CARD8,ENSG00000105483,19,48255946,48180770,-
PNKP,ENSG00000039650,19,49878351,49859882,-
VRK3,ENSG00000105053,19,50025946,49976468,-
ZNF432,ENSG00000256087,19,52095738,52031378,-
TFPT,ENSG00000105619,19,54115675,54107013,-
VN2R19P,ENSG00000235974,19,58025926,58012589,-
WDR18,ENSG00000065268,19,998438,984271,+
ARHGAP45,ENSG00000180448,19,1086628,1065923,+
GPX4,ENSG00000167468,19,1106791,1103926,+
EBI3,ENSG00000105246,19,4237528,4229523,+
SAFB,ENSG00000160633,19,5668478,5623035,+
AC008946.1,ENSG00000267939,19,8016025,8008729,+
CERS4,ENSG00000090661,19,8262421,8206736,+
RAB11B,ENSG00000185236,19,8404434,8389981,+
HNRNPM,ENSG00000099783,19,8489114,8444767,+
PIN1,ENSG00000127445,19,9849682,9835257,+
DNM2,ENSG00000079805,19,10833488,10718079,+
C19orf38,ENSG00000214212,19,10869790,10836575,+
TIMM29,ENSG00000142444,19,10933535,10928811,+
PRKCSH,ENSG00000130175,19,11450968,11435288,+
RAD23A,ENSG00000179262,19,12953642,12945855,+
PKN1,ENSG00000123143,19,14471867,14433053,+
HSH2D,ENSG00000196684,19,16158575,16134028,+
FAM32A,ENSG00000105058,19,16192046,16185380,+
CCDC124,ENSG00000007080,19,17943991,17933015,+
MAU2,ENSG00000129933,19,19358754,19320829,+
ZNF430,ENSG00000118620,19,21060050,21020634,+
LSM14A,ENSG00000257103,19,34229515,34172504,+
GPI,ENSG00000105220,19,34402413,34359480,+
HAUS5,ENSG00000249115,19,35625355,35612735,+
COX6B1,ENSG00000126267,19,35658782,35648323,+
ZNF568,ENSG00000198453,19,36998700,36916329,+
ZNF420,ENSG00000197050,19,37130368,37007857,+
SIPA1L3,ENSG00000105738,19,38208369,37907208,+
EIF3K,ENSG00000178982,19,38636955,38619082,+
ZFP36,ENSG00000128016,19,39409412,39406847,+
SUPT5H,ENSG00000196235,19,39476670,39436156,+
CEACAM21,ENSG00000007129,19,41586844,41549518,+
RPS19,ENSG00000105372,19,41872925,41860255,+
CLPTM1,ENSG00000104853,19,44993341,44954585,+
MARK4,ENSG00000007047,19,45305284,45079288,+
FKRP,ENSG00000181027,19,46776988,46746046,+
SAE1,ENSG00000142230,19,47210636,47113274,+
GRWD1,ENSG00000105447,19,48457022,48445841,+
FTL,ENSG00000087086,19,48966879,48965309,+
RUVBL2,ENSG00000183207,19,49015970,48993562,+
PRMT1,ENSG00000126457,19,49689029,49675786,+
RPS9,ENSG00000170889,19,54249003,54200809,+
LILRB1,ENSG00000104972,19,54637528,54617158,+
ZNF211,ENSG00000121417,19,57644041,57630395,+
SH3YL1,ENSG00000035115,2,266398,217730,-
EIPR1,ENSG00000032389,2,3377882,3188925,-
ITGB1BP1,ENSG00000119185,2,9423547,9403475,-
EIF2B4,ENSG00000115211,2,27370486,27364352,-
FAM98A,ENSG00000119812,2,33599382,33583660,-
PRKD3,ENSG00000115825,2,37324808,37250502,-
SRSF7,ENSG00000115875,2,38751494,38743599,-
THUMPD2,ENSG00000138050,2,39779267,39736060,-
COX7A2L,ENSG00000115944,2,42425088,42333546,-
ASB3,ENSG00000115239,2,53860160,53532672,-
PPP4R3B,ENSG00000275052,2,55618880,55547292,-
BCL11A,ENSG00000119866,2,60554467,60450520,-
PELI1,ENSG00000197329,2,64144420,64092652,-
LINC02245,ENSG00000237638,2,65056168,64901840,-
RAB1A,ENSG00000138069,2,65130331,65070696,-
GFPT1,ENSG00000198380,2,69387254,69319769,-
PCBP1-AS1,ENSG00000179818,2,70103220,69962263,-
AC006030.1,ENSG00000264324,2,74363377,74211604,-
DCTN1,ENSG00000204843,2,74392087,74361154,-
AUP1,ENSG00000115307,2,74529760,74526645,-
ST3GAL5,ENSG00000115525,2,85905199,85837120,-
IMMT,ENSG00000132305,2,86195770,86143932,-
EIF2AK3,ENSG00000172071,2,88627464,88556741,-
IGKV3-20,ENSG00000239951,2,89143160,89142574,-
KANSL3,ENSG00000114982,2,96642787,96593170,-
ANKRD36B,ENSG00000196912,2,97589965,97492663,-
BUB1,ENSG00000169679,2,110678063,110637528,-
CLASP1,ENSG00000074054,2,121649587,121337776,-
WDR33,ENSG00000136709,2,127811187,127701027,-
POLR2D,ENSG00000144231,2,127858155,127843553,-
SMPD4,ENSG00000136699,2,130182750,130151392,-
MZT2A,ENSG00000173272,2,131492743,131464900,-
MCM6,ENSG00000076003,2,135876443,135839626,-
DARS,ENSG00000115866,2,135986100,135905881,-
NEB,ENSG00000183091,2,151734487,151485336,-
CYTIP,ENSG00000115165,2,157488961,157414619,-
COBLL1,ENSG00000082438,2,164843679,164653624,-
TLK1,ENSG00000198586,2,171231314,170990823,-
SP3,ENSG00000172845,2,173965702,173880850,-
OLA1,ENSG00000138430,2,174248599,174072447,-
ORMDL1,ENSG00000128699,2,189784364,189770267,-
STK17B,ENSG00000081320,2,196176503,196133583,-
ANKRD44,ENSG00000065413,2,197311173,196967017,-
HSPD1,ENSG00000144381,2,197516737,197486584,-
AC009226.1,ENSG00000223725,2,207529795,207239864,-
PLEKHM3,ENSG00000178385,2,208025527,207821288,-
IDH1,ENSG00000138413,2,208266074,208236227,-
USP37,ENSG00000135913,2,218568351,218450251,-
CHPF,ENSG00000123989,2,219543809,219538948,-
TRIP12,ENSG00000153827,2,229923239,229763838,-
AC010149.1,ENSG00000235419,2,230580006,230520594,-
CPSF3,ENSG00000119203,2,9473101,9423651,+
HPCAL1,ENSG00000115756,2,10427617,10302889,+
SLC66A3,ENSG00000162976,2,11178870,11155198,+
DDX1,ENSG00000079785,2,15631111,15591178,+
RAB10,ENSG00000084733,2,26137454,26034084,+
HADHB,ENSG00000138029,2,26290465,26243170,+
SELENOI,ENSG00000138018,2,26395891,26308547,+
NRBP1,ENSG00000115216,2,27442259,27427790,+
GPN1,ENSG00000198522,2,27651511,27628247,+
CLIP4,ENSG00000115295,2,29189643,29097705,+
YPEL5,ENSG00000119801,2,30160533,30146941,+
YIPF4,ENSG00000119820,2,32316594,32277904,+
BIRC6,ENSG00000115760,2,32618899,32357028,+
RASGRP3,ENSG00000152689,2,33564750,33436324,+
ACYP2,ENSG00000170634,2,54305300,53970838,+
RPS27A,ENSG00000143947,2,55235853,55231903,+
VRK2,ENSG00000028116,2,58159920,57907629,+
PEX13,ENSG00000162928,2,61051990,61017225,+
COMMD1,ENSG00000173163,2,62147247,61888724,+
AFTPH,ENSG00000119844,2,64593005,64524305,+
ARHGAP25,ENSG00000163219,2,68826833,68679601,+
ANXA4,ENSG00000196975,2,69827112,69644425,+
MXD1,ENSG00000059728,2,69942945,69897688,+
MTHFD2,ENSG00000065911,2,74217565,74198610,+
SEMA4F,ENSG00000135622,2,74683853,74654228,+
MAT2A,ENSG00000168906,2,85545281,85539168,+
VAMP8,ENSG00000118640,2,85582031,85561562,+
AC133644.3,ENSG00000284879,2,87767359,87455476,+
ANKRD36BP2,ENSG00000230006,2,88806612,88765807,+
EIF5B,ENSG00000158417,2,99401326,99337371,+
TMEM182,ENSG00000170417,2,103019900,102736905,+
RANBP2,ENSG00000153201,2,108785809,108719482,+
ACOXL,ENSG00000153093,2,111118222,110732573,+
CBWD2,ENSG00000136682,2,113496204,113437691,+
RABL2A,ENSG00000144134,2,113643396,113627229,+
ACTR3,ENSG00000115091,2,113962596,113890063,+
DDX18,ENSG00000088205,2,117832377,117814691,+
EPB41L5,ENSG00000115109,2,120179119,120013077,+
GYPC,ENSG00000136732,2,126696667,126656133,+
UGGT1,ENSG00000136731,2,128195677,128091200,+
C2orf27A,ENSG00000287151,2,131767404,131647990,+
MGAT5,ENSG00000152127,2,134454621,134119983,+
CCNT2,ENSG00000082258,2,134959342,134918235,+
RAB3GAP1,ENSG00000115839,2,135176394,135052265,+
UBXN4,ENSG00000144224,2,135785056,135741734,+
ARHGAP15,ENSG00000075884,2,143768352,143091362,+
MBD5,ENSG00000204406,2,148516971,148021011,+
ARL6IP6,ENSG00000177917,2,152761253,152717893,+
TANK,ENSG00000136560,2,161236230,161136908,+
PSMD14,ENSG00000115233,2,161411717,161308425,+
PPIG,ENSG00000138398,2,169641406,169584344,+
GORASP2,ENSG00000115806,2,170967130,170928464,+
PDK1,ENSG00000152256,2,172608669,172555373,+
C2orf88,ENSG00000187699,2,190203484,189879609,+
SLC39A10,ENSG00000196950,2,195737702,195575977,+
NIF3L1,ENSG00000196290,2,200903938,200889327,+
NDUFB3,ENSG00000119013,2,201085750,201071433,+
CFLAR,ENSG00000003402,2,201176687,201116154,+
CASP8,ENSG00000064012,2,201287711,201233443,+
NOP58,ENSG00000055044,2,202303661,202265736,+
FASTKD2,ENSG00000118246,2,206796189,206765357,+
SMARCAL1,ENSG00000138375,2,216483053,216412414,+
RHBDD1,ENSG00000144468,2,226999215,226835581,+
MFF,ENSG00000168958,2,227357836,227325151,+
AGFG1,ENSG00000173744,2,227561214,227472152,+
SP140,ENSG00000079263,2,230313215,230203110,+
SP100,ENSG00000067066,2,230545606,230415942,+
CAB39,ENSG00000135932,2,230821075,230712842,+
ITM2C,ENSG00000135916,2,230879248,230864639,+
EIF4E2,ENSG00000135930,2,232583644,232550674,+
INPP5D,ENSG00000168918,2,233207903,233059967,+
DGKD,ENSG00000077044,2,233472104,233354507,+
SEPTIN2,ENSG00000168385,2,241354027,241315100,+
FARP2,ENSG00000006607,2,241494841,241356285,+
ATG4B,ENSG00000168397,2,241673857,241637213,+
ING5,ENSG00000168395,2,241729478,241687085,+
TBC1D20,ENSG00000125875,20,462543,435480,-
NSFL1C,ENSG00000088833,20,1473842,1442162,-
TMEM230,ENSG00000089063,20,5113103,5068232,-
GPCPD1,ENSG00000125772,20,5611006,5544399,-
TASP1,ENSG00000089123,20,13638932,13389392,-
SNX5,ENSG00000089006,20,17968980,17941597,-
CRNKL1,ENSG00000101343,20,20056046,20034368,-
AHCY,ENSG00000101444,20,34311802,34280268,-
TRPC4AP,ENSG00000100991,20,35092807,35002404,-
EDEM2,ENSG00000088298,20,35147336,35115364,-
UQCC1,ENSG00000101019,20,35412031,35302566,-
CPNE1,ENSG00000214078,20,35664956,35626031,-
RBM39,ENSG00000131051,20,35742312,35701347,-
AL391095.1,ENSG00000224635,20,38416797,38404893,-
ADA,ENSG00000196839,20,44652233,44619522,-
ZMYND8,ENSG00000101040,20,47356889,47209214,-
ADNP,ENSG00000101126,20,50931437,50888916,-
ZBP1,ENSG00000124256,20,57620576,57603846,-
ARFRP1,ENSG00000101246,20,63708025,63698642,-
TRIB3,ENSG00000101255,20,397559,362835,+
STK35,ENSG00000125834,20,2177038,2101827,+
PTPRA,ENSG00000132670,20,3039076,2864184,+
ITPA,ENSG00000125877,20,3223870,3208868,+
PANK2,ENSG00000125779,20,3929882,3888839,+
LAMP5,ENSG00000125869,20,9530524,9514358,+
FRG1BP,ENSG00000149531,20,30399257,30377372,+
HM13,ENSG00000101294,20,31577923,31514410,+
TPX2,ENSG00000088325,20,31801805,31739271,+
TM9SF4,ENSG00000101337,20,32167258,32109714,+
ASXL1,ENSG00000171456,20,32439319,32358330,+
ITCH,ENSG00000078747,20,34540748,34363241,+
SPAG4,ENSG00000061656,20,35621094,35615829,+
ROMO1,ENSG00000125995,20,35700984,35699272,+
PHF20,ENSG00000025293,20,35950370,35771974,+
DHX35,ENSG00000101452,20,39039723,38962299,+
MYBL2,ENSG00000101057,20,43716495,43667019,+
NCOA3,ENSG00000124151,20,47656877,47501887,+
CSE1L,ENSG00000124207,20,49096960,49046246,+
PTPN1,ENSG00000196396,20,50585241,50510321,+
RAB22A,ENSG00000124209,20,58367507,58309715,+
GNAS,ENSG00000087460,20,58911192,58839718,+
ADRM1,ENSG00000130706,20,62308862,62302093,+
LINC01749,ENSG00000272259,20,63085071,63009383,+
CCT8,ENSG00000156261,21,29073797,29055805,-
GART,ENSG00000159131,21,33543491,33503931,-
RUNX1,ENSG00000159216,21,36004667,34787801,-
PRDM15,ENSG00000141956,21,41879482,41798225,-
UBE2G2,ENSG00000184787,21,44801826,44768580,-
LSS,ENSG00000160285,21,46228824,46188141,-
CHODL,ENSG00000154645,21,18267373,17901263,+
SON,ENSG00000159140,21,33577514,33543038,+
MX1,ENSG00000157601,21,41459214,41420304,+
SLC37A1,ENSG00000160190,21,42581440,42496008,+
AP001053.1,ENSG00000287507,21,43771666,43768320,+
LINC01424,ENSG00000236519,21,44804717,44802577,+
PRMT2,ENSG00000160310,21,46665124,46635595,+
HDHD5,ENSG00000069998,22,17165287,17137511,-
ESS2,ENSG00000100056,22,19144684,19130279,-
PI4KA,ENSG00000241973,22,20859417,20707691,-
CHCHD10,ENSG00000250479,22,23768443,23765834,-
DERL3,ENSG00000099958,22,23839128,23834503,-
TPST2,ENSG00000128294,22,26596717,26521996,-
PITPNB,ENSG00000180957,22,27920134,27851669,-
TTC28,ENSG00000100154,22,28679865,27978014,-
XBP1,ENSG00000100219,22,28800597,28794555,-
RHBDD3,ENSG00000100263,22,29268209,29259872,-
ASCC2,ENSG00000100325,22,29838304,29788609,-
PES1,ENSG00000100029,22,30607083,30576625,-
MYH9,ENSG00000100345,22,36388067,36281277,-
RAC2,ENSG00000128340,22,37244448,37225270,-
PLA2G6,ENSG00000184381,22,38214778,38111495,-
TMEM184B,ENSG00000198792,22,38273010,38219291,-
POLR3H,ENSG00000100413,22,41544606,41525799,-
TUBGCP6,ENSG00000128159,22,50245023,50217689,-
DENND6B,ENSG00000205593,22,50327012,50309030,-
FRG1GP,ENSG00000283023,22,12626642,12602466,+
MED15,ENSG00000099917,22,20587632,20495913,+
UBE2L3,ENSG00000185651,22,21624034,21549447,+
AC245060.7,ENSG00000286129,22,22329122,22298124,+
IGLV3-21,ENSG00000211662,22,22713203,22711689,+
IGLV3-19,ENSG00000211663,22,22721145,22720623,+
IGLL5,ENSG00000254709,22,22896111,22887780,+
CABIN1,ENSG00000099991,22,24178628,24011192,+
CRYBB2P1,ENSG00000100058,22,25520854,25448105,+
EWSR1,ENSG00000182944,22,29300525,29268009,+
LIMK2,ENSG00000182541,22,31280080,31212239,+
SFI1,ENSG00000198089,22,31618588,31488688,+
CSF2RB,ENSG00000100368,22,36940439,36913628,+
CYTH4,ENSG00000100055,22,37315341,37282027,+
TNRC6B,ENSG00000100354,22,40335808,40044817,+
RBX1,ENSG00000100387,22,40973309,40951347,+
ACO2,ENSG00000100412,22,41528989,41469117,+
PARVB,ENSG00000188677,22,44172949,43999211,+
PARVG,ENSG00000138964,22,44219533,44172956,+
PRR5-ARHGAP8,ENSG00000248405,22,44862706,44702233,+
ATXN10,ENSG00000130638,22,45845307,45671798,+
PPARA,ENSG00000186951,22,46243756,46150521,+
TBC1D22A,ENSG00000054611,22,47175699,46762617,+
PIM3,ENSG00000198355,22,49964072,49960768,+
PPP6R2,ENSG00000100239,22,50445090,50343304,+
EMC3,ENSG00000125037,3,10011116,9962537,-
RAF1,ENSG00000132155,3,12664226,12583601,-
IQSEC1,ENSG00000144711,3,13283281,12897043,-
NUP210,ENSG00000132182,3,13420322,13316235,-
RBSN,ENSG00000131381,3,15099163,15070073,-
METTL6,ENSG00000206562,3,15440566,15381275,-
TOP2B,ENSG00000077097,3,25664907,25597905,-
NGLY1,ENSG00000151092,3,25790039,25718944,-
CMTM6,ENSG00000091317,3,32502852,32481312,-
CLASP2,ENSG00000163539,3,33718356,33496245,-
SEC22C,ENSG00000093183,3,42601080,42547969,-
CCDC12,ENSG00000160799,3,46982010,46921726,-
SMARCC1,ENSG00000173473,3,47782106,47585269,-
MAP4,ENSG00000047849,3,48089272,47850690,-
QRICH1,ENSG00000198218,3,49094363,49029707,-
QARS,ENSG00000172053,3,49105130,49095932,-
USP19,ENSG00000172046,3,49120938,49108046,-
USP4,ENSG00000114316,3,49340712,49277144,-
RHOA,ENSG00000067560,3,49412998,49359145,-
GMPPB,ENSG00000173540,3,49723951,49716844,-
IP6K1,ENSG00000176095,3,49786542,49724294,-
IFRD2,ENSG00000214706,3,50292918,50287732,-
RASSF1,ENSG00000068028,3,50340980,50329782,-
DCAF1,ENSG00000145041,3,51500002,51395867,-
BAP1,ENSG00000163930,3,52410008,52401008,-
PBRM1,ENSG00000163939,3,52685917,52545352,-
SFMBT1,ENSG00000163935,3,53046750,52903572,-
DCP1A,ENSG00000272886,3,53347586,53283429,-
ACTR8,ENSG00000113812,3,53882152,53867066,-
ARF4,ENSG00000168374,3,57598220,57571363,-
UBA3,ENSG00000144744,3,69080408,69054730,-
CD47,ENSG00000196776,3,108091862,108043091,-
NAA50,ENSG00000121579,3,113746300,113716458,-
ZBTB20,ENSG00000181722,3,115147271,114314501,-
B4GALT4,ENSG00000121578,3,119240946,119211732,-
TMEM39A,ENSG00000176142,3,119468830,119428949,-
GOLGB1,ENSG00000173230,3,121749767,121663199,-
IQCB1,ENSG00000173226,3,121835079,121769761,-
PARP9,ENSG00000138496,3,122564577,122527924,-
ZNF148,ENSG00000163848,3,125375354,125225561,-
SNX4,ENSG00000114520,3,125520202,125446650,-
RUVBL1,ENSG00000175792,3,128153914,128064778,-
RPN1,ENSG00000163902,3,128681075,128619969,-
CNBP,ENSG00000169714,3,129183922,129169484,-
TMCC1,ENSG00000172765,3,129893606,129647792,-
MRPL3,ENSG00000114686,3,131502983,131462212,-
STAG1,ENSG00000118007,3,136752403,136336236,-
COPB2,ENSG00000184432,3,139389680,139355600,-
AC026347.1,ENSG00000243305,3,152496813,152457759,-
PHC3,ENSG00000173889,3,170181749,170086732,-
KLHL6,ENSG00000172578,3,183555706,183487551,-
AC131235.2,ENSG00000272721,3,184135238,184134019,-
ALG3,ENSG00000214160,3,184249548,184242301,-
ACAP2,ENSG00000114331,3,195443044,195274745,-
AC132008.2,ENSG00000214135,3,197627906,197578213,-
ITPR1,ENSG00000150995,3,4847840,4493345,+
IL17RC,ENSG00000163702,3,9933630,9917074,+
ATG7,ENSG00000197548,3,11557665,11272309,+
SLC6A6,ENSG00000131389,3,14489349,14402576,+
CCDC174,ENSG00000154781,3,14672659,14651746,+
NR2C2,ENSG00000177463,3,15053600,14947584,+
CAPN7,ENSG00000131375,3,15252916,15206152,+
TGFBR2,ENSG00000163513,3,30694142,30606502,+
C3orf35,ENSG00000198590,3,37440186,37381062,+
RPSA,ENSG00000168028,3,39412542,39406716,+
CTNNB1,ENSG00000168036,3,41260096,41194741,+
TRAK1,ENSG00000182606,3,42225890,42013802,+
SACM1L,ENSG00000211456,3,45745409,45689056,+
CCR3,ENSG00000183625,3,46266706,46163604,+
CCR2,ENSG00000121807,3,46360928,46353734,+
DHX30,ENSG00000132153,3,47850195,47802909,+
APEH,ENSG00000164062,3,49683971,49674014,+
RBM6,ENSG00000004534,3,50100045,49940007,+
PHF7,ENSG00000010318,3,52423641,52410660,+
PRKCD,ENSG00000163932,3,53192717,53156009,+
SLMAP,ENSG00000163681,3,57930003,57755450,+
PSMD6-AS2,ENSG00000239653,3,64012148,64004022,+
ARL6IP5,ENSG00000144746,3,69106092,69084937,+
C3orf38,ENSG00000179021,3,88168729,88149959,+
ARL13B,ENSG00000169379,3,94055678,93980139,+
TFG,ENSG00000114354,3,100748964,100709331,+
NXPE3,ENSG00000144815,3,101828231,101779202,+
SLC35A5,ENSG00000138459,3,112585579,112561709,+
GRAMD1C,ENSG00000178075,3,113947174,113828182,+
POGLUT1,ENSG00000163389,3,119494708,119468963,+
TIMMDC1,ENSG00000113845,3,119525090,119498547,+
EAF2,ENSG00000145088,3,121886526,121835183,+
UMPS,ENSG00000114491,3,124749273,124730433,+
CHCHD6,ENSG00000159685,3,126960420,126704240,+
SEC61A1,ENSG00000058262,3,128071683,128051641,+
RAB7A,ENSG00000075785,3,128814796,128726122,+
COPG1,ENSG00000181789,3,129277773,129249606,+
ATP2C1,ENSG00000017260,3,131016712,130850595,+
CEP63,ENSG00000182923,3,134575017,134485721,+
NCK1,ENSG00000158092,3,136951606,136862208,+
MRPS22,ENSG00000175110,3,139357223,139005806,+
ATP1B3,ENSG00000069849,3,141926549,141876124,+
AC018450.1,ENSG00000241679,3,143131893,143123362,+
MBNL1,ENSG00000152601,3,152465780,152243828,+
SEC62,ENSG00000008952,3,169998373,169966635,+
SKIL,ENSG00000136603,3,170396835,170357678,+
FNDC3B,ENSG00000075420,3,172401669,172039578,+
YEATS2,ENSG00000163872,3,183812624,183697797,+
VPS8,ENSG00000156931,3,185052614,184812143,+
MAP3K13,ENSG00000073803,3,185489094,185282941,+
