Gene,Accession,Chromosome,End,Start,Strand
AC124312.1,ENSG00000214265,15,25000276,24955034,+
SNHG14,ENSG00000224078,15,25420336,24978583,+
SNORD107,ENSG00000276314,15,24982068,24981994,+
PWAR5,ENSG00000279192,15,24988232,24985053,+
SNORD64,ENSG00000276610,15,24985166,24985100,+
SNORD108,ENSG00000239014,15,24986995,24986925,+
SNORD109A,ENSG00000274640,15,25042040,25041974,+
SNORD116-1,ENSG00000207063,15,25051571,25051477,+
SNORD116-2,ENSG00000207001,15,25054304,25054210,+
SNORD116-3,ENSG00000207014,15,25056954,25056860,+
SNORD116-4,ENSG00000275529,15,25059633,25059538,+
SNORD116-5,ENSG00000207191,15,25062427,25062333,+
SNORD116-6,ENSG00000207442,15,25065121,25065026,+
SNORD116-7,ENSG00000207133,15,25067882,25067788,+
SNORD116-8,ENSG00000207093,15,25070526,25070432,+
SNORD116-9,ENSG00000206727,15,25073201,25073107,+
SNORD116-10,ENSG00000200661,15,25074215,25074114,+
SNORD116-11,ENSG00000206609,15,25076020,25075929,+
SNORD116-12,ENSG00000207197,15,25077142,25077051,+
SNORD116-13,ENSG00000207137,15,25079149,25079058,+
SNORD116-14,ENSG00000206621,15,25080233,25080142,+
SNORD116-15,ENSG00000207174,15,25081378,25081287,+
SNORD116-16,ENSG00000207263,15,25082859,25082768,+
SNORD116-17,ENSG00000206656,15,25083679,25083588,+
SNORD116-18,ENSG00000206688,15,25085476,25085385,+
SNORD116-19,ENSG00000207460,15,25086618,25086527,+
AC124312.3,ENSG00000261069,15,25088896,25087661,+
SNORD116-20,ENSG00000278715,15,25087753,25087662,+
SNORD116-21,ENSG00000277785,15,25088895,25088804,+
SNORD116-22,ENSG00000275127,15,25090014,25089923,+
SNORD116-23,ENSG00000207375,15,25091877,25091786,+
SNORD116-24,ENSG00000207279,15,25094128,25094037,+
SNORD116-25,ENSG00000252326,15,25097754,25097663,+
SNORD116-26,ENSG00000251815,15,25099594,25099499,+
SNORD116-27,ENSG00000251896,15,25101666,25101575,+
SNORD116-28,ENSG00000278123,15,25104732,25104642,+
SNORD116-29,ENSG00000207245,15,25106603,25106521,+
SNORD116-30,ENSG00000252277,15,25108352,25108268,+
PWAR1,ENSG00000279050,15,25138055,25135642,+
SNORD115,ENSG00000212428,15,25159279,25159221,+
SNORD115-1,ENSG00000201831,15,25170804,25170723,+
SNORD115-2,ENSG00000199712,15,25172716,25172635,+
SNORD115-3,ENSG00000199970,15,25175008,25174927,+
SNORD115-4,ENSG00000200680,15,25176913,25176832,+
SNORD115-5,ENSG00000200503,15,25178819,25178738,+
SNORD115-6,ENSG00000200812,15,25180578,25180497,+
SNORD115-7,ENSG00000278089,15,25182466,25182385,+
SNORD115-8,ENSG00000200726,15,25184387,25184306,+
SNORD115-9,ENSG00000199782,15,25185712,25185631,+
SNORD115-10,ENSG00000201943,15,25187616,25187536,+
SNORD115-11,ENSG00000200486,15,25189495,25189414,+
SNORD115-12,ENSG00000199453,15,25191497,25191416,+
SNORD115-13,ENSG00000273835,15,25193402,25193321,+
SNORD115-14,ENSG00000199960,15,25195001,25194921,+
SNORD115-15,ENSG00000201679,15,25197656,25197576,+
SNORD115-16,ENSG00000200757,15,25199529,25199448,+
SNORD115-17,ENSG00000201482,15,25201404,25201323,+
SNORD115-18,ENSG00000200163,15,25203308,25203227,+
SNORD115-19,ENSG00000199968,15,25204438,25204357,+
SNORD115-20,ENSG00000201969,15,25206343,25206262,+
SNORD115-21,ENSG00000199833,15,25208163,25208083,+
SNORD115-22,ENSG00000201326,15,25209999,25209918,+
SNORD115-23,ENSG00000201331,15,25211877,25211796,+
SNORD115-24,ENSG00000200398,15,25213729,25213648,+
SNORD115-25,ENSG00000199489,15,25215622,25215541,+
SNORD115-26,ENSG00000275524,15,25218698,25218617,+
SNORD115-27,ENSG00000201300,15,25220578,25220497,+
SNORD115-28,ENSG00000200801,15,25222428,25222348,+
SNORD115-29,ENSG00000199704,15,25223327,25223246,+
SNORD115-30,ENSG00000200987,15,25225284,25225203,+
SNORD115-31,ENSG00000202188,15,25227190,25227109,+
SNORD115-32,ENSG00000200949,15,25229048,25228967,+
SNORD115-33,ENSG00000200593,15,25230919,25230838,+
SNORD115-34,ENSG00000199311,15,25232468,25232387,+
SNORD115-35,ENSG00000201992,15,25234328,25234247,+
SNORD115-36,ENSG00000202499,15,25236166,25236085,+
SNORD115-37,ENSG00000200638,15,25238067,25237986,+
SNORD115-38,ENSG00000201907,15,25239919,25239838,+
SNORD115-39,ENSG00000200564,15,25241827,25241746,+
SNORD115-40,ENSG00000272460,15,25243695,25243614,+
SNORD115-41,ENSG00000200478,15,25245559,25245478,+
SNORD115-42,ENSG00000201143,15,25247426,25247345,+
SNORD115-43,ENSG00000202373,15,25249279,25249198,+
SNORD115-44,ENSG00000202261,15,25250940,25250859,+
AC124303.1,ENSG00000280234,15,25257027,25255579,+
SNORD115-45,ENSG00000212380,15,25264590,25264510,+
SNORD115-46,ENSG00000276844,15,25266661,25266591,+
SNORD115-47,ENSG00000212528,15,25268551,25268466,+
SNORD115-48,ENSG00000201634,15,25269858,25269783,+
SNORD109B,ENSG00000239169,15,25278409,25278343,+
AC023449.1,ENSG00000223628,15,25581122,25580969,+
RNA5SP390,ENSG00000222123,15,25738620,25738508,+
AC016266.1,ENSG00000259011,15,25877211,25865295,+
LINC02346,ENSG00000206187,15,26053123,25902119,+
LINC00929,ENSG00000259150,15,26134001,26115726,+
AC012060.1,ENSG00000286884,15,26265918,26261669,+
LINC02248,ENSG00000235160,15,26455217,26395037,+
GABRA5,ENSG00000186297,15,26949208,26866911,+
TVP23BP1,ENSG00000259122,15,26970385,26964917,+
GABRG3,ENSG00000182256,15,27541984,26971181,+
SERPINE4P,ENSG00000258624,15,27340804,27340524,+
AC144833.1,ENSG00000261426,15,27366398,27362310,+
AC104002.2,ENSG00000259152,15,27428338,27422381,+
AC021979.1,ENSG00000258594,15,27629289,27621534,+
AC090696.1,ENSG00000232394,15,27776798,27775621,+
RPL5P32,ENSG00000228992,15,27896582,27895704,+
RPL41P2,ENSG00000256338,15,28316059,28315651,+
AC091304.3,ENSG00000261401,15,28336609,28332237,+
AC091304.5,ENSG00000261561,15,28346647,28346490,+
GOLGA8F,ENSG00000153684,15,28392018,28378621,+
RN7SL238P,ENSG00000276891,15,28387485,28387196,+
ABCB10P3,ENSG00000261524,15,28405033,28402868,+
AC091304.9,ENSG00000276928,15,28416674,28416449,+
AC091304.6,ENSG00000274532,15,28422373,28422172,+
MIR4509-2,ENSG00000266039,15,28426584,28426491,+
AC091304.10,ENSG00000284628,15,28444264,28444144,+
AC138749.3,ENSG00000261041,15,28549777,28545912,+
AC138749.1,ENSG00000227717,15,28561379,28553638,+
HERC2P9,ENSG00000206149,15,28685264,28589492,+
WHAMMP2,ENSG00000248334,15,28759204,28737583,+
AC055876.1,ENSG00000232431,15,28792002,28788243,+
AC055876.3,ENSG00000256951,15,28789486,28789199,+
PDCD6IPP2,ENSG00000261377,15,28859007,28789664,+
APBA2,ENSG00000034053,15,29118315,28884483,+
AC061965.1,ENSG00000252868,15,29233979,29233868,+
TUBBP8,ENSG00000259300,15,29614274,29612570,+
AC102941.2,ENSG00000287334,15,29669482,29664477,+
AC022613.1,ENSG00000256802,15,29680957,29674990,+
HMGN2P5,ENSG00000234664,15,29730985,29730713,+
AC022613.2,ENSG00000259523,15,29824081,29822631,+
NCAPGP2,ENSG00000259749,15,30006430,30005205,+
AC111152.3,ENSG00000260174,15,30045296,30044455,+
GOLGA8J,ENSG00000179938,15,30093499,30083053,+
RN7SL673P,ENSG00000273818,15,30091898,30091662,+
ULK4P3,ENSG00000178081,15,30131757,30103720,+
U8,ENSG00000207432,15,30112330,30112198,+
GOLGA8T,ENSG00000261247,15,30145567,30135149,+
RN7SL469P,ENSG00000277637,15,30143969,30143733,+
LINC02249,ENSG00000225930,15,30217552,30195809,+
AC135731.1,ENSG00000259993,15,30225564,30223017,+
AC135731.2,ENSG00000270955,15,30288389,30282533,+
Y_RNA,ENSG00000238783,15,30355540,30355436,+
AC019322.3,ENSG00000274966,15,30396368,30395146,+
AC127502.1,ENSG00000215302,15,30507623,30470779,+
AC127502.2,ENSG00000270055,15,30490313,30487963,+
AC127502.3,ENSG00000283345,15,30513698,30507377,+
AC026150.2,ENSG00000260784,15,30517867,30516079,+
AC026150.1,ENSG00000260693,15,30545969,30540093,+
GOLGA8Q,ENSG00000178115,15,30562501,30552078,+
RN7SL796P,ENSG00000277031,15,30560934,30560644,+
ULK4P2,ENSG00000260128,15,30600647,30572738,+
U8,ENSG00000207430,15,30581316,30581184,+
GOLGA8H,ENSG00000261794,15,30614561,30604126,+
RN7SL628P,ENSG00000277467,15,30612960,30612724,+
AC091057.3,ENSG00000269930,15,30617749,30616958,+
AC091057.6,ENSG00000285077,15,30649529,30624494,+
ARHGAP11B,ENSG00000284906,15,30685606,30624548,+
AC091057.5,ENSG00000285035,15,30723495,30644633,+
AC091057.1,ENSG00000187951,15,30772993,30658717,+
Y_RNA,ENSG00000206846,15,30673843,30673750,+
AC091057.4,ENSG00000284783,15,30759859,30750406,+
GOLGA8UP,ENSG00000103832,15,30801859,30791573,+
RN7SL82P,ENSG00000278696,15,30800396,30800160,+
HERC2P10,ENSG00000259845,15,30844153,30815271,+
FAN1,ENSG00000198690,15,30943108,30890559,+
AC087481.2,ENSG00000261628,15,30900327,30899480,+
AC009562.1,ENSG00000259720,15,31042302,30992171,+
LINC02352,ENSG00000259448,15,31224445,31215622,+
KLF13,ENSG00000169926,15,31435665,31326835,+
UBE2CP4,ENSG00000259179,15,31420662,31420128,+
AC026951.2,ENSG00000277500,15,31787734,31787494,+
CHRNA7,ENSG00000175344,15,32173018,31923438,+
AC079969.1,ENSG00000206849,15,31928434,31928303,+
AC068448.1,ENSG00000279912,15,32186475,32182551,+
RNU6-18P,ENSG00000207257,15,32284258,32284152,+
AC139426.2,ENSG00000260642,15,32367784,32359538,+
DNM1P31,ENSG00000261491,15,32387484,32384937,+
DNM1P32,ENSG00000261708,15,32439767,32436503,+
LINC02256,ENSG00000261064,15,32587613,32536047,+
AC123768.4,ENSG00000276724,15,32584312,32583612,+
GOLGA8N,ENSG00000232653,15,32607310,32593456,+
RN7SL286P,ENSG00000277464,15,32602411,32602121,+
AC123768.2,ENSG00000244952,15,32615111,32613733,+
ARHGAP11A,ENSG00000198826,15,32639941,32615144,+
SCG5,ENSG00000166922,15,32697098,32641676,+
GREM1,ENSG00000166923,15,32745106,32718004,+
AC018515.1,ENSG00000212415,15,32970791,32970727,+
HNRNPA1P71,ENSG00000259686,15,33013068,33012119,+
RYR3,ENSG00000198838,15,33866121,33310945,+
Y_RNA,ENSG00000200008,15,33722596,33722492,+
CHRM5,ENSG00000184984,15,34067457,33968720,+
AC009268.3,ENSG00000287840,15,33988268,33985406,+
AC009268.1,ENSG00000259505,15,33992048,33990686,+
PGBD4,ENSG00000182405,15,34108686,34102083,+
EMC4,ENSG00000128463,15,34230156,34225013,+
AC079203.2,ENSG00000259468,15,34257832,34255286,+
Y_RNA,ENSG00000207091,15,34314828,34314728,+
NUTM1,ENSG00000184507,15,34357737,34343315,+
AC025678.1,ENSG00000260639,15,34394931,34394594,+
AC025678.2,ENSG00000261081,15,34410594,34409625,+
FSCN1P1,ENSG00000261559,15,34495900,34494420,+
AC027139.2,ENSG00000278582,15,34521791,34520608,+
AC027139.1,ENSG00000259892,15,34556820,34555870,+
AC100834.2,ENSG00000287973,15,34670512,34657736,+
AC087457.1,ENSG00000250007,15,34813505,34755084,+
AC018868.1,ENSG00000231409,15,34943394,34943080,+
AC114546.3,ENSG00000279364,15,34980084,34978351,+
AC114546.1,ENSG00000259181,15,35003221,34993646,+
AC114546.4,ENSG00000280396,15,35000270,34999902,+
AC114546.2,ENSG00000259587,15,35011191,35007844,+
AC021231.3,ENSG00000259665,15,35081513,35081144,+
AC021231.2,ENSG00000259397,15,35093210,35092481,+
ANP32AP1,ENSG00000259516,15,35238197,35181799,+
NUTF2P6,ENSG00000259710,15,35282980,35282596,+
AC019288.1,ENSG00000259688,15,35396444,35396221,+
HNRNPA1P45,ENSG00000259411,15,35401768,35400691,+
DPH6-DT,ENSG00000248079,15,35860199,35546154,+
AC068867.1,ENSG00000259217,15,35774950,35774801,+
LINC02853,ENSG00000259245,15,36049537,35919892,+
MIR4510,ENSG00000265098,15,35926923,35926856,+
AC087516.1,ENSG00000259395,15,36344166,36341739,+
COX6CP4,ENSG00000270500,15,36572212,36571985,+
C15orf41,ENSG00000186073,15,36810248,36579626,+
AC103988.1,ENSG00000261635,15,36614198,36613474,+
LARP4P,ENSG00000261315,15,36619265,36617089,+
U3,ENSG00000212511,15,36852859,36852640,+
AC078909.1,ENSG00000259460,15,37100173,37099339,+
AC078909.2,ENSG00000274444,15,37109984,37109587,+
Metazoa_SRP,ENSG00000274216,15,37216898,37216617,+
AC087283.1,ENSG00000270304,15,37254952,37253879,+
AC016304.1,ENSG00000243122,15,37491103,37490691,+
TMCO5A,ENSG00000166069,15,37967724,37921939,+
LINC02345,ENSG00000259225,15,38062340,37980676,+
SPRED1,ENSG00000166068,15,38357249,38252836,+
FAM98B,ENSG00000171262,15,38487710,38454127,+
AC116158.3,ENSG00000286786,15,38499985,38493308,+
AC116158.1,ENSG00000259326,15,38504981,38502853,+
AC116158.2,ENSG00000259598,15,38534655,38524070,+
LINC02694,ENSG00000175779,15,39180499,38628005,+
AC087878.1,ENSG00000259278,15,39026521,39019193,+
AC113146.1,ENSG00000259423,15,39180048,39167676,+
C15orf54,ENSG00000175746,15,39254845,39250684,+
AC109630.1,ENSG00000259269,15,39497074,39472703,+
THBS1,ENSG00000137801,15,39599466,39581079,+
AC037198.1,ENSG00000276107,15,39587293,39586561,+
AC023908.3,ENSG00000261136,15,39785617,39782571,+
GPR176-DT,ENSG00000246863,15,39925880,39921042,+
EIF2AK4,ENSG00000128829,15,40035591,39934115,+
SRP14-AS1,ENSG00000248508,15,40076539,40039242,+
AC021755.3,ENSG00000275636,15,40079347,40078892,+
BMF-AS1,ENSG00000259409,15,40089386,40088832,+
BUB1B,ENSG00000156970,15,40221136,40161023,+
PAK6,ENSG00000137843,15,40277487,40217428,+
BUB1B-PAK6,ENSG00000259288,15,40264890,40218500,+
AC020658.4,ENSG00000273786,15,40227069,40226386,+
AC020658.3,ENSG00000260648,15,40236109,40232082,+
AC020658.7,ENSG00000279537,15,40247366,40244925,+
AC020658.6,ENSG00000279409,15,40260370,40258501,+
PLCB2-AS1,ENSG00000259307,15,40301820,40300670,+
AC020658.2,ENSG00000259198,15,40316634,40312615,+
INAFM2,ENSG00000259330,15,40326715,40323692,+
PHGR1,ENSG00000233041,15,40356434,40351033,+
DISP2,ENSG00000140323,15,40378621,40358219,+
KNSTRN,ENSG00000128944,15,40394246,40382721,+
IVD,ENSG00000128928,15,40435947,40405485,+
BAHD1,ENSG00000140320,15,40468236,40439721,+
CHST14,ENSG00000169105,15,40474571,40470998,+
AC091045.1,ENSG00000259536,15,40558019,40488041,+
RNU6-516P,ENSG00000223313,15,40529673,40529570,+
RPUSD2,ENSG00000166133,15,40574949,40569299,+
KNL1,ENSG00000137812,15,40664342,40594020,+
AC022405.1,ENSG00000259254,15,40646857,40642933,+
RAD51,ENSG00000051180,15,40732340,40694774,+
SUMO2P15,ENSG00000271236,15,40760874,40760597,+
GCHFR,ENSG00000137880,15,40767708,40764068,+
C15orf62,ENSG00000188277,15,40772449,40769980,+
ZFYVE19,ENSG00000166140,15,40815084,40807086,+
SPINT1,ENSG00000166145,15,40858207,40844018,+
AC025166.1,ENSG00000274798,15,40874595,40874433,+
VPS18,ENSG00000104142,15,40903975,40894450,+
AC020661.1,ENSG00000251161,15,40910337,40906811,+
DLL4,ENSG00000128917,15,40939073,40929340,+
CHAC1,ENSG00000128965,15,40956512,40952962,+
AC020661.3,ENSG00000259617,15,41004865,40999274,+
AC020661.2,ENSG00000259463,15,41013300,41011597,+
INO80-AS1,ENSG00000259521,15,41027893,41016807,+
CYCSP2,ENSG00000259547,15,41109178,41108878,+
FAM92A1P1,ENSG00000157021,15,41164374,41163162,+
CHP1,ENSG00000187446,15,41281887,41230839,+
OIP5-AS1,ENSG00000247556,15,41309737,41283990,+
AC087721.2,ENSG00000285920,15,41380996,41284007,+
NUSAP1,ENSG00000137804,15,41381050,41320794,+
AC087721.1,ENSG00000259396,15,41344225,41343080,+
RTF1,ENSG00000137815,15,41483563,41408408,+
ITPKA,ENSG00000137825,15,41503551,41493393,+
ELOCP2,ENSG00000259838,15,41557435,41557027,+
TYRO3,ENSG00000092445,15,41583589,41557675,+
MGA,ENSG00000174197,15,41773081,41621224,+
MIR626,ENSG00000207766,15,41691678,41691585,+
MAPKBP1,ENSG00000137802,15,41827855,41774434,+
JMJD7,ENSG00000243789,15,41837581,41828092,+
JMJD7-PLA2G4B,ENSG00000168970,15,41848155,41828095,+
PLA2G4B,ENSG00000243708,15,41848147,41837775,+
AC020659.1,ENSG00000174171,15,41899528,41892777,+
EHD4-AS1,ENSG00000259883,15,41929286,41921417,+
PLA2G4E-AS1,ENSG00000246740,15,41999094,41972763,+
AC039056.1,ENSG00000257797,15,42010117,42006132,+
AC036103.1,ENSG00000261002,15,42226990,42208413,+
GANC,ENSG00000214013,15,42356935,42273233,+
BNIP3P5,ENSG00000260571,15,42314386,42313687,+
AC012651.1,ENSG00000258461,15,42412317,42348103,+
CAPN3,ENSG00000092529,15,42412318,42359500,+
SNAP23,ENSG00000092531,15,42545356,42491233,+
HAUS2,ENSG00000137814,15,42569994,42548828,+
MYL12BP1,ENSG00000260490,15,42572433,42571927,+
STARD9,ENSG00000159433,15,42720998,42575606,+
AC090510.3,ENSG00000278769,15,42724922,42724102,+
AC090510.2,ENSG00000274403,15,42727211,42726583,+
AC090510.1,ENSG00000246283,15,42743202,42739118,+
AC090510.4,ENSG00000286877,15,42749936,42749081,+
AC068724.2,ENSG00000281269,15,43110018,43109928,+
TMEM62,ENSG00000137842,15,43185144,43123279,+
SPCS2P1,ENSG00000260928,15,43131686,43131008,+
CCNDBP1,ENSG00000166946,15,43197177,43185118,+
Y_RNA,ENSG00000202211,15,43247781,43247680,+
AC009852.1,ENSG00000260406,15,43302772,43302096,+
ADAL,ENSG00000168803,15,43354555,43330657,+
TUBGCP4,ENSG00000137822,15,43409771,43369221,+
MAP1A,ENSG00000166963,15,43531620,43510958,+
CKMT1B,ENSG00000237289,15,43604901,43593054,+
RNU6-554P,ENSG00000222398,15,43602648,43602543,+
PDIA3P2,ENSG00000224677,15,43649280,43649123,+
CKMT1A,ENSG00000223572,15,43699222,43692886,+
RNU6-353P,ENSG00000201136,15,43702470,43702363,+
PDIA3,ENSG00000167004,15,43773278,43746410,+
SERF2,ENSG00000140264,15,43802589,43777087,+
HYPK,ENSG00000242028,15,43803043,43796142,+
WDR76,ENSG00000092470,15,43868412,43826980,+
GAPDHP55,ENSG00000224055,15,44064313,44063511,+
CASC4,ENSG00000166734,15,44415758,44288719,+
AC090519.1,ENSG00000250130,15,44355692,44354691,+
CTDSPL2,ENSG00000137770,15,44529038,44427622,+
EIF3J,ENSG00000104131,15,44563029,44537125,+
AC009996.1,ENSG00000259659,15,44559188,44557829,+
B2M,ENSG00000166710,15,44718877,44711487,+
TRIM69,ENSG00000185880,15,44767829,44728988,+
AC122108.1,ENSG00000259187,15,44827094,44826540,+
Y_RNA,ENSG00000238845,15,44843724,44843612,+
RNU1-119P,ENSG00000212424,15,44884780,44884616,+
AC090888.1,ENSG00000259231,15,44920820,44919376,+
TERB2,ENSG00000167014,15,44979229,44956687,+
RNU6-1332P,ENSG00000252475,15,44962933,44962830,+
RNU6-966P,ENSG00000252288,15,44973661,44973558,+
SORD,ENSG00000140263,15,45077185,45023181,+
DUOXA2,ENSG00000140274,15,45118421,45114326,+
DUOX1,ENSG00000137857,15,45165576,45129933,+
AC051619.4,ENSG00000259519,15,45199958,45170344,+
AC051619.2,ENSG00000259338,15,45215943,45215547,+
SLC28A2,ENSG00000137860,15,45277846,45252234,+
AC051619.11,ENSG00000285597,15,45280474,45279423,+
AC025580.3,ENSG00000275672,15,45380123,45378700,+
SPATA5L1,ENSG00000171763,15,45421415,45402336,+
C15orf48,ENSG00000166920,15,45448761,45430529,+
MIR147B,ENSG00000284386,15,45433129,45433050,+
AC025580.2,ENSG00000259354,15,45513767,45448427,+
HMGN2P46,ENSG00000179362,15,45586290,45511136,+
SNORA41B,ENSG00000207516,15,45537377,45537250,+
AC090527.1,ENSG00000259681,15,45562877,45558598,+
DPPA5P2,ENSG00000259427,15,45567074,45566776,+
BLOC1S6,ENSG00000104164,15,45615945,45587214,+
AC090527.2,ENSG00000260170,15,45676314,45587351,+
Y_RNA,ENSG00000200419,15,45592085,45591984,+
SQOR,ENSG00000137767,15,45691281,45631148,+
AC068722.2,ENSG00000273972,15,45703183,45702640,+
AC068722.1,ENSG00000259200,15,45931069,45705078,+
AC091074.3,ENSG00000287020,15,46351753,46317393,+
MTND5P40,ENSG00000259593,15,46341599,46341354,+
AC091074.2,ENSG00000285934,15,46381043,46365836,+
AC012405.1,ENSG00000287704,15,46661103,46410309,+
RNU6-1014P,ENSG00000238456,15,46660760,46660658,+
AC073941.1,ENSG00000259255,15,46804844,46693288,+
AC073941.2,ENSG00000259509,15,46827958,46827526,+
SEMA6D,ENSG00000137872,15,47774223,47184101,+
RN7SKP139,ENSG00000222343,15,47272889,47272597,+
AC084882.1,ENSG00000259554,15,47275164,47274183,+
AC009558.2,ENSG00000259740,15,47527756,47525169,+
AC092078.2,ENSG00000259754,15,48050507,47812729,+
AC092078.1,ENSG00000259730,15,47949509,47944044,+
SLC24A5,ENSG00000188467,15,48142672,48120990,+
CTXN2,ENSG00000233932,15,48203758,48178122,+
SLC12A1,ENSG00000074803,15,48304078,48178438,+
DUT,ENSG00000128951,15,48343373,48331011,+
AC022467.2,ENSG00000286947,15,48526051,48524308,+
AC084757.3,ENSG00000259705,15,48652016,48645951,+
AC084757.1,ENSG00000259216,15,48725827,48725338,+
AC012379.1,ENSG00000259670,15,48784121,48783190,+
AC012379.2,ENSG00000259700,15,48811909,48810701,+
EID1,ENSG00000255302,15,48880173,48878134,+
AC091073.1,ENSG00000259602,15,48948031,48938236,+
KRT8P24,ENSG00000259500,15,48973361,48971803,+
AC013452.2,ENSG00000259656,15,49103264,49101791,+
GALK2,ENSG00000156958,15,49367869,49155656,+
NDUFAF4P1,ENSG00000259467,15,49156847,49156329,+
AC022306.2,ENSG00000275580,15,49344254,49343608,+
AC022306.3,ENSG00000276593,15,49354034,49353485,+
FGF7,ENSG00000140285,15,49488775,49423178,+
DTWD1,ENSG00000104047,15,49656232,49621037,+
AC025040.2,ENSG00000259388,15,49796097,49794246,+
AC025040.1,ENSG00000259188,15,49883525,49877299,+
RNA5SP394,ENSG00000201086,15,49982561,49982443,+
SLC27A2,ENSG00000140284,15,50236385,50182196,+
Y_RNA,ENSG00000200605,15,50221996,50221888,+
GABPB1-AS1,ENSG00000244879,15,50372202,50354959,+
MIR4712,ENSG00000284284,15,50360410,50360329,+
AHCYP7,ENSG00000259465,15,50418692,50417385,+
USP8,ENSG00000138592,15,50514421,50424380,+
RNA5SP395,ENSG00000252376,15,50463498,50463381,+
AC012170.1,ENSG00000242737,15,50467096,50466738,+
AC084756.1,ENSG00000259684,15,50560500,50557601,+
RN7SL354P,ENSG00000243027,15,50689193,50688900,+
AC012100.2,ENSG00000259773,15,50749829,50746709,+
AC012100.1,ENSG00000241130,15,50798951,50798670,+
AP4E1,ENSG00000081014,15,51005895,50908672,+
DCAF13P3,ENSG00000259378,15,50945996,50944663,+
MIR4713HG,ENSG00000259240,15,51293912,51037488,+
MIR4713,ENSG00000266593,15,51242264,51242190,+
MIR7973-1,ENSG00000278098,15,51314109,51314034,+
AC020891.2,ENSG00000259306,15,51321996,51315841,+
GLDN,ENSG00000186417,15,51408005,51341655,+
AC020891.1,ENSG00000259194,15,51369110,51367377,+
AC066613.2,ENSG00000259678,15,51498833,51414097,+
AC066613.1,ENSG00000259668,15,51460582,51455268,+
SCG3,ENSG00000104112,15,51721026,51681492,+
TMOD2,ENSG00000128872,15,51816363,51751597,+
AC026770.1,ENSG00000259377,15,51756475,51752485,+
TMOD3,ENSG00000138594,15,51947295,51829628,+
AC090971.5,ENSG00000274954,15,51833426,51833134,+
Y_RNA,ENSG00000207484,15,51884653,51884556,+
RNU6-90P,ENSG00000272337,15,51907305,51907200,+
MAPK6,ENSG00000069956,15,52067375,51952106,+
AC090970.1,ENSG00000259398,15,52035625,52033707,+
AC023906.2,ENSG00000259178,15,52086574,52082302,+
AC023906.1,ENSG00000242327,15,52095747,52095295,+
AC023906.3,ENSG00000259327,15,52122131,52116574,+
AC023906.4,ENSG00000259709,15,52140246,52124561,+
Y_RNA,ENSG00000206995,15,52162852,52162751,+
CERNA1,ENSG00000259577,15,52206915,52179999,+
EEF1B2P1,ENSG00000231169,15,52505862,52505191,+
AC025917.1,ENSG00000260618,15,52598709,52577842,+
AC009754.2,ENSG00000287500,15,52690077,52679474,+
RPSAP55,ENSG00000214896,15,52886470,52885595,+
LINC02490,ENSG00000259237,15,53129698,53116365,+
AC066614.1,ENSG00000287596,15,53453487,53419865,+
RNU2-53P,ENSG00000252066,15,53652123,53651977,+
RNU6-449P,ENSG00000206641,15,53764310,53764204,+
AC084759.3,ENSG00000280362,15,53914712,53910769,+
UNC13C,ENSG00000137766,15,54633414,53978201,+
AC025272.1,ENSG00000260937,15,55092177,55056723,+
PIGB,ENSG00000069943,15,55355648,55318960,+
C15orf65,ENSG00000261652,15,55418798,55408495,+
AC012378.2,ENSG00000285805,15,55589811,55588666,+
AC012378.1,ENSG00000259180,15,55681463,55680385,+
AC009997.1,ENSG00000259369,15,55746767,55746639,+
CD24P2,ENSG00000261333,15,56071639,56071421,+
TEX9,ENSG00000151575,15,56445997,56244009,+
AC068726.1,ENSG00000275417,15,56249127,56248787,+
HMGB1P33,ENSG00000261174,15,56323719,56323193,+
AC084782.3,ENSG00000277245,15,56447697,56447120,+
AC090517.3,ENSG00000279683,15,56795522,56795382,+
AC090517.1,ENSG00000225625,15,56846605,56846340,+
AC010999.2,ENSG00000276524,15,56888219,56887107,+
TCF12,ENSG00000140262,15,57299281,56918623,+
LINC00926,ENSG00000247982,15,57307769,57300365,+
LINC01413,ENSG00000260172,15,57325039,57319138,+
CGNL1,ENSG00000128849,15,57550727,57375967,+
AC025271.4,ENSG00000276772,15,57555680,57553955,+
MYZAP,ENSG00000263155,15,57685364,57591904,+
GCOM1,ENSG00000137878,15,57714745,57591908,+
POLR2M,ENSG00000255529,15,57782762,57706695,+
AC090651.1,ENSG00000261219,15,57720928,57720295,+
AC025431.1,ENSG00000259285,15,58071043,58065225,+
AQP9,ENSG00000103569,15,58185911,58138169,+
MTCO3P23,ENSG00000259651,15,58150563,58150275,+
MTND3P12,ENSG00000259626,15,58150962,58150635,+
AC066616.2,ENSG00000259600,15,58152513,58151033,+
MTND5P32,ENSG00000259379,15,58154407,58152606,+
MTCYBP23,ENSG00000259671,15,58156061,58154960,+
AC066616.1,ENSG00000240934,15,58201018,58200606,+
LIPC,ENSG00000166035,15,58569844,58410569,+
AC084781.1,ENSG00000277229,15,58454982,58454327,+
AC084781.2,ENSG00000277790,15,58456348,58456188,+
AC018904.2,ENSG00000259476,15,58523371,58521311,+
AC018904.1,ENSG00000259250,15,58591676,58587507,+
HMGB1P51,ENSG00000270986,15,58672933,58672296,+
AC091046.1,ENSG00000182625,15,58686617,58686411,+
AC091046.2,ENSG00000278513,15,58733149,58732188,+
AC090515.6,ENSG00000286897,15,58761004,58749923,+
MINDY2,ENSG00000128923,15,58861900,58771192,+
