Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr
DHRS11,ENSG00000278535,17,36600804,36591879,+,-0.0096
DUSP14,ENSG00000276023,17,37513501,37489891,+,-0.0832
SOCS7,ENSG00000274211,17,38405593,38351844,+,-0.0242
RDM1P5,ENSG00000263818,17,39113190,39057019,+,-0.0375
PNMT,ENSG00000141744,17,39670475,39667981,+,-0.0381
ERBB2,ENSG00000141736,17,39730426,39687914,+,-0.0175
THRA,ENSG00000126351,17,40093867,40058290,+,-0.0449
AC004585.1,ENSG00000266088,17,40527002,40516892,+,-0.0799
STAT5A,ENSG00000126561,17,42311943,42287547,+,-0.1084
TUBG2,ENSG00000037042,17,42667006,42659284,+,-0.0469
RUNDC1,ENSG00000198863,17,42993690,42980565,+,-0.0941
NAGS,ENSG00000161653,17,44009068,44004622,+,-0.067
KPNB1,ENSG00000108424,17,47685505,47649476,+,-0.0165
TBX21,ENSG00000073861,17,47746122,47733236,+,-0.0286
SNX11,ENSG00000002919,17,48123074,48103357,+,-0.0175
ABI3,ENSG00000108798,17,49223225,49210411,+,-0.1535
XYLT2,ENSG00000015532,17,50363138,50346126,+,-0.0641
ACSF2,ENSG00000167107,17,50474845,50426158,+,-0.0773
RSAD1,ENSG00000136444,17,50485974,50478860,+,-0.0673
SPATA20,ENSG00000006282,17,50555852,50543058,+,-0.053
EPX,ENSG00000121053,17,58205174,58192726,+,-0.0236
BCAS3,ENSG00000141376,17,61392838,60677453,+,-0.0916
RGS9,ENSG00000108370,17,65227703,65100812,+,-0.0054
COG1,ENSG00000166685,17,73208507,73192632,+,-0.0346
CD300A,ENSG00000167851,17,74484794,74466399,+,-0.0447
TRIM80P,ENSG00000232724,17,75079549,75074306,+,-0.04
SLC16A5,ENSG00000170190,17,75106162,75087727,+,-0.0468
ARMC7,ENSG00000125449,17,75130272,75109952,+,-0.0509
MYO15B,ENSG00000266714,17,75626849,75588058,+,-0.0766
SPHK1,ENSG00000176170,17,76387860,76376584,+,0.0728
TNRC6C,ENSG00000078687,17,78108835,77959240,+,-0.0538
TMC8,ENSG00000167895,17,78142968,78130770,+,-0.1491
ENGASE,ENSG00000167280,17,79088599,79074939,+,-0.0489
ENPP7,ENSG00000182156,17,79742219,79730943,+,-0.0118
GAA,ENSG00000171298,17,80119881,80101556,+,-0.0415
CARD14,ENSG00000141527,17,80209331,80169992,+,-0.042
ENDOV,ENSG00000173818,17,80438086,80415165,+,-0.0333
BAIAP2,ENSG00000175866,17,81117432,81035122,+,-0.0496
AP005136.4,ENSG00000286975,18,2511580,2506628,-,-0.0356
LPIN2,ENSG00000101577,18,3013315,2916994,-,-0.0696
L3MBTL4,ENSG00000154655,18,6415237,5954706,-,-0.0657
NPC1,ENSG00000141458,18,23586506,23506184,-,-0.0269
AC010754.1,ENSG00000265752,18,23982556,23957754,-,-0.0516
KCTD1,ENSG00000134504,18,26657401,26454910,-,0.0453
ZNF396,ENSG00000186496,18,35377337,35366694,-,-0.0522
EPG5,ENSG00000152223,18,45967329,45847609,-,-0.0585
PSTPIP2,ENSG00000152229,18,46072272,45983536,-,-0.0519
NETO1,ENSG00000166342,18,72868146,72742314,-,-0.0425
FBXO15,ENSG00000141665,18,74147843,74073353,-,-0.0558
EMILIN2,ENSG00000132205,18,2916003,2847006,+,-0.0691
TGIF1,ENSG00000177426,18,3459978,3411608,+,-0.2356
PTPRM,ENSG00000173482,18,8406861,7566782,+,-0.0387
CEP192,ENSG00000101639,18,13125052,12991362,+,-0.0195
GREB1L,ENSG00000141449,18,21525417,21242242,+,-0.047
ZNF271P,ENSG00000257267,18,35328390,35290282,+,-0.0912
MOCOS,ENSG00000075643,18,36272157,36187497,+,0.0196
SLC14A2,ENSG00000132874,18,45683686,45212995,+,-0.0085
NEDD4L,ENSG00000049759,18,58401540,58044226,+,-0.0301
ZNF236,ENSG00000130856,18,76970727,76822607,+,-0.1031
NFATC1,ENSG00000131196,18,79529325,79395856,+,-0.1412
CTDP1,ENSG00000060069,18,79756623,79679801,+,-0.0436
MIER2,ENSG00000105556,19,344815,301444,-,-0.0223
POLRMT,ENSG00000099821,19,633537,617221,-,-0.0321
REXO1,ENSG00000079313,19,1848483,1815248,-,-0.0306
BTBD2,ENSG00000133243,19,2034881,1985438,-,-0.0461
ZNF77,ENSG00000175691,19,2944971,2933218,-,-0.055
MATK,ENSG00000007264,19,3802129,3777970,-,-0.0346
AC011498.1,ENSG00000267011,19,4471493,4457962,-,-0.0377
PLIN4,ENSG00000167676,19,4518465,4502180,-,0.0323
TICAM1,ENSG00000127666,19,4831704,4815932,-,-0.1075
LONP1,ENSG00000196365,19,5720572,5691834,-,0.0345
AC011491.3,ENSG00000269802,19,6362149,6343761,-,-0.0112
DENND1C,ENSG00000205744,19,6482557,6467207,-,-0.1396
TUBB4A,ENSG00000104833,19,6502848,6494319,-,-0.0263
XAB2,ENSG00000076924,19,7629545,7619525,-,-0.1117
FCER2,ENSG00000104921,19,7702146,7688758,-,-0.1435
MYO1F,ENSG00000142347,19,8577577,8520778,-,-0.1776
ADAMTS10,ENSG00000142303,19,8610735,8580240,-,-0.0155
ZNF558,ENSG00000167785,19,8832314,8806170,-,-0.0909
ZNF266,ENSG00000174652,19,9435571,9412461,-,-0.22
ZNF426,ENSG00000130818,19,9538645,9523223,-,-0.072
FBXL12,ENSG00000127452,19,9827816,9810267,-,-0.0962
OLFM2,ENSG00000105088,19,9936552,9853718,-,-0.0135
CDKN2D,ENSG00000129355,19,10569059,10566460,-,-0.1808
DOCK6,ENSG00000130158,19,11262524,11199295,-,-0.0449
TNPO2,ENSG00000105576,19,12724011,12699194,-,-0.0832
KLF1,ENSG00000105610,19,12887199,12884422,-,0.0668
C19orf57,ENSG00000132016,19,13906452,13882348,-,0.0499
DNAJB1,ENSG00000132002,19,14529770,14514769,-,-0.1593
EPHX3,ENSG00000105131,19,15233435,15226919,-,0.0483
NR2F6,ENSG00000160113,19,17245940,17231883,-,-0.0199
INSL3,ENSG00000248099,19,17821574,17816512,-,-0.0342
IQCN,ENSG00000130518,19,18274509,18257097,-,-0.0743
LRRC25,ENSG00000175489,19,18397622,18391137,-,-0.0709
ISYNA1,ENSG00000105655,19,18438167,18434388,-,-0.1023
TSSK6,ENSG00000178093,19,19515548,19512418,-,-0.0107
ZNF14,ENSG00000105708,19,19733112,19710472,-,-0.0897
AC123912.1,ENSG00000268081,19,21569237,21554640,-,-0.0547
ANKRD27,ENSG00000105186,19,32676597,32597006,-,-0.0252
RHPN2,ENSG00000131941,19,33064888,32978592,-,-0.0458
ZNF599,ENSG00000153896,19,34773229,34758073,-,-0.0363
DMKN,ENSG00000161249,19,35513658,35497220,-,-0.066
NFKBID,ENSG00000167604,19,35902303,35887653,-,-0.1527
SYNE4,ENSG00000181392,19,36008813,36003307,-,-0.0244
ZNF565,ENSG00000196357,19,36246257,36182060,-,-0.0028
ZNF260,ENSG00000254004,19,36528271,36510687,-,-0.0941
LINC01534,ENSG00000225975,19,36687449,36682636,-,-0.0491
LGALS4,ENSG00000171747,19,38812945,38801671,-,-0.0435
PRX,ENSG00000105227,19,40413366,40393768,-,-0.0055
SERTAD1,ENSG00000197019,19,40425992,40421589,-,-0.0645
NUMBL,ENSG00000105245,19,40690972,40665905,-,-0.0151
B3GNT8,ENSG00000177191,19,41428730,41425359,-,-0.0439
PHLDB3,ENSG00000176531,19,43504935,43474954,-,-0.0313
LYPD5,ENSG00000159871,19,43827206,43785874,-,0.0224
EML2,ENSG00000125746,19,45645629,45606994,-,-0.0157
PRKD2,ENSG00000105287,19,46717127,46674275,-,-0.009
STRN4,ENSG00000090372,19,46746994,46719511,-,-0.072
ZC3H4,ENSG00000130749,19,47113776,47064187,-,-0.0537
PLA2G4C,ENSG00000105499,19,48110817,48047843,-,-0.0656
CCDC114,ENSG00000105479,19,48321894,48296457,-,-0.0418
GYS1,ENSG00000104812,19,48993310,48968130,-,-0.0747
SLC6A16,ENSG00000063127,19,49325215,49289638,-,-0.0669
AC011450.1,ENSG00000197813,19,49340303,49331525,-,-0.0331
FAM71E1,ENSG00000142530,19,50476848,50466785,-,0.0373
KLK1,ENSG00000167748,19,50823787,50819146,-,-0.0736
VSIG10L,ENSG00000186806,19,51342124,51331536,-,-0.0096
SIGLEC10,ENSG00000142512,19,51417803,51410020,-,-0.2179
ZNF432,ENSG00000256087,19,52095738,52031378,-,-0.0868
ZNF160,ENSG00000170949,19,53103436,53066606,-,-0.0812
LILRB2,ENSG00000131042,19,54281184,54273821,-,-0.0733
LAIR1,ENSG00000167613,19,54370558,54351384,-,-0.126
PPP6R1,ENSG00000105063,19,55259017,55229779,-,-0.0904
FIZ1,ENSG00000179943,19,55601970,55591376,-,-0.0306
AC005498.3,ENSG00000269696,19,56567411,56545566,-,-0.0569
ZNF460-AS1,ENSG00000267871,19,57280334,57267211,-,-0.0305
AC004076.1,ENSG00000268163,19,57477536,57437970,-,-0.0574
ZNF416,ENSG00000083817,19,57578911,57571566,-,-0.0796
C19orf18,ENSG00000177025,19,57974534,57958437,-,-0.0508
VN2R19P,ENSG00000235974,19,58025926,58012589,-,0.0278
ZSCAN18,ENSG00000121413,19,58118427,58083838,-,-0.0707
ZNF837,ENSG00000152475,19,58381030,58367618,-,-0.0452
ZNF132,ENSG00000131849,19,58440153,58432814,-,-0.04
SLC27A5,ENSG00000083807,19,58512413,58479512,-,-0.0116
HCN2,ENSG00000099822,19,617159,589881,+,-0.0313
ARHGAP45,ENSG00000180448,19,1086628,1065923,+,-0.2127
STK11,ENSG00000118046,19,1228435,1177558,+,-0.0176
DOT1L,ENSG00000104885,19,2232578,2163933,+,-0.0048
SPPL2B,ENSG00000005206,19,2355095,2328615,+,-0.1136
TMPRSS9,ENSG00000178297,19,2426239,2360238,+,-0.0324
ZNF554,ENSG00000172006,19,2836735,2819868,+,0.0205
AC006130.3,ENSG00000287766,19,2864428,2862270,+,-0.0496
FZR1,ENSG00000105325,19,3538330,3506273,+,-0.0433
TJP3,ENSG00000105289,19,3750813,3708362,+,-0.0438
ANKRD24,ENSG00000089847,19,4224814,4183354,+,0.0498
KDM4B,ENSG00000127663,19,5153598,4969113,+,-0.0615
VAV1,ENSG00000141968,19,6857366,6772708,+,-0.0522
AC119396.1,ENSG00000263264,19,7383385,7348943,+,-0.0944
PNPLA6,ENSG00000032444,19,7561764,7534004,+,-0.0963
PDE4A,ENSG00000065989,19,10469630,10416773,+,-0.0349
ZNF627,ENSG00000198551,19,11619161,11559374,+,-0.0877
ZNF441,ENSG00000197044,19,11784078,11767000,+,-0.0781
ZNF440,ENSG00000171295,19,11835216,11814273,+,-0.0586
ZNF136,ENSG00000196646,19,12189871,12163064,+,-0.0862
CCDC130,ENSG00000104957,19,13763296,13731760,+,-0.1704
CC2D1A,ENSG00000132024,19,13930879,13906201,+,-0.0294
IL27RA,ENSG00000104998,19,14053218,14031762,+,-0.1254
ZNF333,ENSG00000160961,19,14733746,14689801,+,-0.081
NIBAN3,ENSG00000167483,19,17553839,17523301,+,-0.2161
COLGALT1,ENSG00000130309,19,17583162,17555649,+,-0.176
FCHO1,ENSG00000130475,19,17788568,17747718,+,-0.1348
ARRDC2,ENSG00000105643,19,18014102,18001132,+,-0.1745
MAST3,ENSG00000099308,19,18151692,18097793,+,-0.1189
MAU2,ENSG00000129933,19,19358754,19320829,+,-0.1123
ZNF66,ENSG00000160229,19,20809995,20776304,+,-0.0694
ZNF492,ENSG00000229676,19,22667671,22634324,+,-0.043
FAAP24,ENSG00000131944,19,32978229,32972209,+,-0.0284
ZNF30,ENSG00000168661,19,34945170,34926903,+,-0.0023
CD22,ENSG00000012124,19,35347361,35319261,+,-0.2212
WDR62,ENSG00000075702,19,36105108,36054881,+,0.0363
OVOL3,ENSG00000105261,19,36113711,36111151,+,0.0507
ZNF382,ENSG00000161298,19,36634114,36604817,+,-0.0398
ZNF568,ENSG00000198453,19,36998700,36916329,+,-0.0825
SIPA1L3,ENSG00000105738,19,38208369,37907208,+,-0.0267
CATSPERG,ENSG00000099338,19,38370943,38335775,+,-0.0393
MED29,ENSG00000063322,19,39400641,39391303,+,-0.0537
PLEKHG2,ENSG00000090924,19,39428415,39412669,+,-0.0299
ZNF546,ENSG00000187187,19,40021038,39984134,+,-0.0641
LTBP4,ENSG00000090006,19,40629818,40592883,+,-0.0713
ITPKC,ENSG00000086544,19,40740860,40717112,+,-0.0416
ZNF574,ENSG00000105732,19,42081552,42068477,+,-0.0963
ZNF526,ENSG00000167625,19,42228201,42220312,+,-0.011
ZNF283,ENSG00000167637,19,43852017,43827321,+,-0.0636
ZNF234,ENSG00000263002,19,44160313,44141554,+,-0.0667
ZNF226,ENSG00000167380,19,44178381,44165073,+,-0.1219
RELB,ENSG00000104856,19,45038198,45001449,+,-0.0459
ARHGAP35,ENSG00000160007,19,47005077,46860997,+,-0.022
CCDC9,ENSG00000105321,19,47273701,47255980,+,-0.0321
DHX34,ENSG00000134815,19,47382704,47349315,+,-0.0792
KCNJ14,ENSG00000182324,19,48466980,48455509,+,0.0225
NR1H2,ENSG00000131408,19,50383388,50329653,+,-0.2088
EMC10,ENSG00000161671,19,50490870,50476400,+,-0.0878
ZNF613,ENSG00000176024,19,51948759,51927147,+,-0.0369
ZNF808,ENSG00000198482,19,52564464,52527652,+,-0.0435
ZNF701,ENSG00000167562,19,52587174,52555457,+,-0.0715
ZNF845,ENSG00000213799,19,53356906,53333749,+,-0.0578
ZNF331,ENSG00000130844,19,53580269,53519527,+,-0.165
TSEN34,ENSG00000170892,19,54194536,54189938,+,-0.0535
ZNF470,ENSG00000197016,19,56588911,56567468,+,-0.0768
ZNF460,ENSG00000197714,19,57294069,57280051,+,-0.0636
ZNF543,ENSG00000178229,19,57330770,57320472,+,-0.0884
ZNF304,ENSG00000131845,19,57359898,57351307,+,-0.0609
ZIK1,ENSG00000171649,19,57593890,57578456,+,-0.0887
ZNF134,ENSG00000213762,19,57624724,57614233,+,-0.0458
ZNF211,ENSG00000121417,19,57644041,57630395,+,-0.1381
ZNF135,ENSG00000176293,19,58086310,58059239,+,-0.044
ZNF274,ENSG00000171606,19,58213562,58183029,+,-0.1694
ZSCAN22,ENSG00000182318,19,58342332,58326994,+,-0.0178
AC012313.6,ENSG00000269054,19,58367593,58362583,+,-0.0448
ZNF584,ENSG00000171574,19,58418327,58401504,+,0.0238
AC012313.4,ENSG00000268543,19,58419310,58418560,+,-0.0277
ZNF324,ENSG00000083812,19,58475436,58467045,+,-0.0657
LINC01814,ENSG00000236008,2,8592903,8461703,-,-0.0387
KIDINS220,ENSG00000134313,2,8837630,8721081,-,-0.1321
AC008073.1,ENSG00000223754,2,24201698,24199839,-,-0.0288
ADCY3,ENSG00000138031,2,24919839,24819169,-,-0.0568
SLC5A6,ENSG00000138074,2,27212958,27199587,-,-0.0032
UCN,ENSG00000163794,2,27308445,27307400,-,-0.076
IFT172,ENSG00000138002,2,27489789,27444377,-,-0.0458
CAPN14,ENSG00000214711,2,31233858,31173056,-,-0.043
NLRC4,ENSG00000091106,2,32265732,32224453,-,-0.0459
DHX57,ENSG00000163214,2,38875934,38797729,-,-0.087
FTOP1,ENSG00000226491,2,42798712,42797225,-,-0.0589
LINC02580,ENSG00000230587,2,43132482,43092530,-,-0.0181
AC007381.1,ENSG00000228590,2,60439828,60336446,-,-0.0446
WDPCP,ENSG00000143951,2,63827843,63119559,-,-0.0798
LINC01800,ENSG00000234572,2,64863626,64846130,-,-0.0507
ADD2,ENSG00000075340,2,70768225,70607618,-,-0.0823
PAIP2B,ENSG00000124374,2,71227103,71182738,-,-0.1076
SFXN5,ENSG00000144040,2,73075619,72942036,-,-0.0104
M1AP,ENSG00000159374,2,74648338,74557883,-,0.0384
TRABD2A,ENSG00000186854,2,84907008,84821650,-,-0.0407
IGKV1-5,ENSG00000243466,2,88947957,88947301,-,0.0232
IGKV1-6,ENSG00000239855,2,88966767,88966262,-,0.1459
IGKV3-7,ENSG00000243063,2,88979081,88978468,-,-0.0151
IGKV1-8,ENSG00000240671,2,88992931,88992409,-,0.0464
IGKV1-9,ENSG00000241755,2,89010515,89009982,-,-0.0086
IGKV3-11,ENSG00000241351,2,89027731,89027171,-,-0.0094
IGKV1-12,ENSG00000243290,2,89040745,89040224,-,0.1112
IGKV1-13,ENSG00000253497,2,89046466,89045995,-,0.0266
IGKV3-15,ENSG00000244437,2,89085787,89085177,-,0.0785
IGKV1-16,ENSG00000240864,2,89100361,89099859,-,0.0377
IGKV1-17,ENSG00000240382,2,89117844,89117342,-,0.0772
IGKV2-18,ENSG00000254157,2,89129483,89128724,-,0.0234
IGKV3-20,ENSG00000239951,2,89143160,89142574,-,0.1109
IGKV2-24,ENSG00000241294,2,89177160,89176328,-,-0.0381
IGKV2-26,ENSG00000254098,2,89196829,89196096,-,-0.0262
IGKV1-27,ENSG00000244575,2,89213928,89213423,-,0.0518
IGKV2-28,ENSG00000244116,2,89222461,89221698,-,0.1307
IGKV2-29,ENSG00000253998,2,89234912,89234174,-,0.007
IGKV2-30,ENSG00000243238,2,89245596,89244781,-,-0.0514
IGKV1-32,ENSG00000253870,2,89254015,89253571,-,-0.0318
IGKV1-33,ENSG00000242076,2,89268506,89266494,-,0.061
IGKV1-37,ENSG00000239862,2,89297785,89297264,-,0.1034
IGKV1-39,ENSG00000242371,2,89320146,89319625,-,0.1787
GPAT2,ENSG00000186281,2,96039451,96021946,-,-0.02
DUSP2,ENSG00000158050,2,96145440,96143169,-,-0.0655
TMEM127,ENSG00000135956,2,96265994,96248516,-,-0.0384
KANSL3,ENSG00000114982,2,96642787,96593170,-,-0.0237
ACTR1B,ENSG00000115073,2,97664044,97655939,-,-0.082
CHST10,ENSG00000115526,2,100417668,100391860,-,-0.0558
TGFBRAP1,ENSG00000135966,2,105329735,105264391,-,-0.0415
NPHP1,ENSG00000144061,2,110205066,110122311,-,0.0192
CLASP1,ENSG00000074054,2,121649587,121337776,-,-0.1004
AMMECR1L,ENSG00000144233,2,127885922,127861630,-,-0.0362
SAP130,ENSG00000136715,2,128028120,127941217,-,-0.0121
SMPD4,ENSG00000136699,2,130182750,130151392,-,-0.0572
TMEM163,ENSG00000152128,2,134719000,134455759,-,-0.0418
WDSUB1,ENSG00000196151,2,159286799,159235793,-,-0.1149
RBMS1,ENSG00000153250,2,160493807,160272151,-,-0.0627
TTC21B,ENSG00000123607,2,165953816,165857475,-,-0.0691
TTN,ENSG00000155657,2,178830802,178525989,-,-0.1156
DNAH7,ENSG00000118997,2,196068837,195737703,-,-0.0472
HECW2,ENSG00000138411,2,196593684,196189099,-,-0.063
PGAP1,ENSG00000197121,2,196927796,196833004,-,-0.0337
ANKRD44,ENSG00000065413,2,197311173,196967017,-,-0.1932
RFTN2,ENSG00000162944,2,197676045,197568224,-,-0.052
SATB2,ENSG00000119042,2,199471266,199269500,-,-0.0387
ALS2,ENSG00000003393,2,201780956,201700267,-,-0.0243
INO80D,ENSG00000114933,2,206086303,205993721,-,-0.082
PLEKHM3,ENSG00000178385,2,208025527,207821288,-,-0.0792
IKZF2,ENSG00000030419,2,213152427,212999691,-,-0.05
ZNF142,ENSG00000115568,2,218659655,218637916,-,-0.0658
RNF25,ENSG00000163481,2,218672002,218663892,-,-0.0717
CNPPD1,ENSG00000115649,2,219178106,219171897,-,-0.2081
ATG9A,ENSG00000198925,2,219229717,219219380,-,-0.1273
IRS1,ENSG00000169047,2,226799759,226731317,-,-0.0386
PER2,ENSG00000132326,2,238290102,238244044,-,-0.0439
PASK,ENSG00000115687,2,241150264,241106099,-,-0.0566
STK25,ENSG00000115694,2,241509730,241492670,-,-0.0637
TRAPPC12,ENSG00000171853,2,3485094,3379675,+,-0.0726
ODC1-DT,ENSG00000257135,2,10457693,10448689,+,-0.0234
ATP6V1C2,ENSG00000143882,2,10785110,10721100,+,-0.0354
LINC01954,ENSG00000271952,2,10885118,10844477,+,-0.0149
MIR3681HG,ENSG00000224184,2,12702913,11833926,+,-0.0295
LINC00954,ENSG00000228784,2,19885047,19868860,+,-0.0742
GDF7,ENSG00000143869,2,20679243,20667144,+,-0.0534
NCOA1,ENSG00000084676,2,24770702,24491914,+,-0.0836
CAD,ENSG00000084774,2,27243943,27217369,+,-0.0057
KRTCAP3,ENSG00000157992,2,27446481,27442366,+,-0.0615
TOGARAM2,ENSG00000189350,2,29061373,28956611,+,0.0488
EHD3,ENSG00000013016,2,31269451,31234152,+,-0.1169
TMEM178A,ENSG00000152154,2,39717963,39664982,+,-0.0118
PRKCE,ENSG00000171132,2,46187990,45651345,+,-0.0494
RHOQ,ENSG00000119729,2,46584688,46541806,+,-0.0682
FOXN2,ENSG00000170802,2,48379295,48314637,+,-0.0634
EML6,ENSG00000214595,2,54972025,54723499,+,-0.0612
SMYD5,ENSG00000135632,2,73227221,73214222,+,-0.066
ALMS1P1,ENSG00000163016,2,73697509,73641083,+,-0.0607
AC073046.1,ENSG00000235499,2,73986343,73985132,+,-0.019
DOK1,ENSG00000115325,2,74557554,74549026,+,-0.1272
SEMA4F,ENSG00000135622,2,74683853,74654228,+,-0.0885
ELMOD3,ENSG00000115459,2,85391752,85354394,+,-0.0773
IGKV4-1,ENSG00000211598,2,88886153,88885397,+,0.0447
IGKV5-2,ENSG00000211599,2,88897784,88897232,+,-0.0678
IGKV2D-40,ENSG00000251039,2,89852497,89851791,+,0.0059
IGKV1D-39,ENSG00000251546,2,89862981,89862482,+,0.0221
IGKV1D-33,ENSG00000239975,2,89916052,89913982,+,-0.0066
IGKV2D-26,ENSG00000211623,2,89986702,89985922,+,0.0481
IGKV2D-24,ENSG00000241566,2,90005629,90004797,+,-0.0041
IGKV3D-20,ENSG00000211625,2,90039479,90038848,+,0.0196
IGKV1D-17,ENSG00000242766,2,90083291,90082635,+,0.0436
IGKV1D-16,ENSG00000241244,2,90100738,90100236,+,0.1046
IGKV1D-13,ENSG00000276566,2,90154574,90154073,+,0.0125
IGKV3D-11,ENSG00000211632,2,90173414,90172802,+,0.0292
IGKV1D-43,ENSG00000242580,2,90210529,90209873,+,0.0434
IGKV1D-8,ENSG00000239819,2,90221384,90220727,+,0.0916
AC009237.3,ENSG00000229689,2,95532405,95525345,+,0.0524
ARID5A,ENSG00000196843,2,96552634,96536743,+,-0.207
CNNM4,ENSG00000158158,2,96811874,96760902,+,-0.0543
AC079447.1,ENSG00000241962,2,99322741,99141485,+,-0.014
MAP4K4,ENSG00000071054,2,101894689,101696850,+,-0.1171
MERTK,ENSG00000153208,2,112029561,111898607,+,0.0129
POLR1B,ENSG00000125630,2,112577150,112541915,+,-0.0107
SLC20A1,ENSG00000144136,2,112663825,112645939,+,0.0027
EPB41L5,ENSG00000115109,2,120179119,120013077,+,-0.0913
MYO7B,ENSG00000169994,2,127637729,127535802,+,-0.0681
AC073869.1,ENSG00000152117,2,131521573,131492813,+,-0.1057
KIF5C,ENSG00000168280,2,149026759,148875227,+,-0.0723
LYPD6B,ENSG00000150556,2,149215262,149038107,+,-0.0797
FMNL2,ENSG00000157827,2,152649826,152335174,+,-0.0131
PKP4,ENSG00000144283,2,158682879,158456964,+,-0.0244
AC019197.1,ENSG00000236283,2,165208261,164840661,+,-0.0308
AC021851.1,ENSG00000272800,2,183215414,183178806,+,-0.0448
FAM117B,ENSG00000138439,2,202769757,202634969,+,-0.0874
NRP2,ENSG00000118257,2,205798133,205681990,+,-0.0457
MAP2,ENSG00000078018,2,209734118,209424058,+,-0.0425
SMARCAL1,ENSG00000138375,2,216483053,216412414,+,-0.071
STK36,ENSG00000163482,2,218702716,218672069,+,-0.051
RETREG2,ENSG00000144567,2,219185475,219176225,+,-0.0846
NYAP2,ENSG00000144460,2,225654018,225399710,+,-0.0155
ATG16L1,ENSG00000085978,2,233295674,233210051,+,-0.0753
SAG,ENSG00000130561,2,233347055,233307816,+,-0.0387
DGKD,ENSG00000077044,2,233472104,233354507,+,-0.1624
ESPNL,ENSG00000144488,2,238133287,238100340,+,-0.0637
SIRPG,ENSG00000089012,20,1657779,1629152,-,-0.0156
RNF24,ENSG00000101236,20,4015558,3927309,-,-0.0283
RASSF2,ENSG00000101265,20,4823608,4780023,-,-0.1952
SLC23A2,ENSG00000089057,20,5010293,4852356,-,-0.1229
LRRN4,ENSG00000125872,20,6054060,6040546,-,0.0268
JAG1,ENSG00000101384,20,10673999,10637684,-,-0.0428
ZNF337,ENSG00000130684,20,25696853,25673195,-,-0.0759
NOL4L,ENSG00000197183,20,32585074,32443059,-,-0.1691
GGT7,ENSG00000131067,20,34872856,34844720,-,-0.1153
DLGAP4-AS1,ENSG00000232907,20,36573391,36507702,-,-0.0143
SLA2,ENSG00000101082,20,36646196,36612318,-,-0.0092
KCNS1,ENSG00000124134,20,45101127,45091214,-,0.0279
MATN4,ENSG00000124159,20,45308529,45293445,-,-0.0407
ZNF335,ENSG00000198026,20,45972203,45948660,-,-0.0062
NCOA5,ENSG00000124160,20,46089962,46060991,-,-0.0821
ZNFX1,ENSG00000124201,20,49278426,49237946,-,-0.1364
RIPOR3,ENSG00000042062,20,50691542,50586108,-,-0.0528
PMEPA1,ENSG00000124225,20,57711536,57648392,-,-0.0846
PPP4R1L,ENSG00000124224,20,58309451,58228940,-,-0.0215
AL109840.2,ENSG00000285091,20,58981169,58916000,-,0.0113
CTSZ,ENSG00000101160,20,59007254,58995185,-,-0.0222
GMEB2,ENSG00000101216,20,63627101,63587602,-,-0.0516
UCKL1,ENSG00000198276,20,63956416,63939829,-,-0.188
SAMD10,ENSG00000130590,20,63980008,63974116,-,-0.042
TRIB3,ENSG00000101255,20,397559,362835,+,-0.0243
RBCK1,ENSG00000125826,20,430966,407498,+,-0.1123
PTPRA,ENSG00000132670,20,3039076,2864184,+,-0.102
OXT,ENSG00000101405,20,3072517,3071620,+,-0.0172
MAVS,ENSG00000088888,20,3876123,3846799,+,-0.0604
PRNP,ENSG00000171867,20,4701590,4686350,+,-0.212
ENTPD6,ENSG00000197586,20,25228075,25195693,+,-0.0316
HCK,ENSG00000101336,20,32101856,32052188,+,-0.1168
POFUT1,ENSG00000101346,20,32238658,32207880,+,-0.0424
EFCAB8,ENSG00000215529,20,32961609,32858923,+,0.0605
CBFA2T2,ENSG00000078699,20,33650036,33490075,+,-0.0772
RALGAPB,ENSG00000170471,20,38578859,38472816,+,-0.1064
ACTR5,ENSG00000101442,20,38772520,38748460,+,-0.1063
PPP1R16B,ENSG00000101445,20,38923024,38805697,+,-0.1332
DHX35,ENSG00000101452,20,39039723,38962299,+,-0.0583
ZSWIM1,ENSG00000168612,20,45885266,45881227,+,-0.0848
PCIF1,ENSG00000100982,20,45948023,45934683,+,-0.1614
LINC00494,ENSG00000235621,20,48370636,48359884,+,-0.063
LINC01273,ENSG00000231742,20,50176676,50171809,+,-0.0079
BCAS4,ENSG00000124243,20,50882676,50794894,+,-0.2044
RBM38,ENSG00000132819,20,57409333,57391396,+,-0.0991
ZNF831,ENSG00000124203,20,59259113,59123381,+,-0.0652
CDH26,ENSG00000124215,20,60034011,59958423,+,-0.0385
DNAJC5,ENSG00000101152,20,63936031,63895126,+,0.0102
PRPF6,ENSG00000101161,20,64033100,63981132,+,-0.0767
TCEA2,ENSG00000171703,20,64072347,64049836,+,-0.0529
CYP4F29P,ENSG00000228314,21,13848364,13843133,-,-0.0458
ANKRD20A11P,ENSG00000215559,21,13980437,13909574,-,0.0024
TIAM1,ENSG00000156299,21,31559977,31118416,-,0.0391
RCAN1,ENSG00000159200,21,34615113,34513142,-,0.0211
HLCS,ENSG00000159267,21,36990236,36750888,-,-0.0139
LINC01679,ENSG00000237989,21,43362349,43358147,-,-0.0735
HSF2BP,ENSG00000160207,21,43659488,43529186,-,-0.0362
MCM3AP,ENSG00000160294,21,46286297,46235133,-,-0.0832
